date,merchant,amount,category,card_used
2025-10-16,Uber,5.4,TRANSPORTATION,Chase Freedom Unlimited
2025-10-15,ACH Electronic CreditGUSTO PAY 123456,5850.0,GENERAL_SERVICES,Chase Freedom Unlimited
2025-10-15,CD DEPOSIT .INITIAL.,1000.0,GENERAL_MERCHANDISE,Chase Freedom Unlimited
2025-10-14,Touchstone Climbing,78.5,PERSONAL_CARE,Chase Freedom Unlimited
2025-10-14,United Airlines,500.0,TRAVEL,Chase Freedom Unlimited
2025-10-13,McDonald's,12.0,FOOD_AND_DRINK,Chase Freedom Unlimited
2025-10-13,Starbucks,4.33,FOOD_AND_DRINK,Chase Freedom Unlimited
2025-10-12,FUN,89.4,GENERAL_MERCHANDISE,Chase Freedom Unlimited
2025-10-01,United Airlines,500.0,TRAVEL,Chase Freedom Unlimited
2025-09-29,Uber,6.33,TRANSPORTATION,Chase Freedom Unlimited
2025-09-26,Tectra Inc,500.0,ENTERTAINMENT,Chase Freedom Unlimited
2025-09-25,AUTOMATIC PAYMENT - THANK,2078.5,GENERAL_MERCHANDISE,Chase Freedom Unlimited
2025-09-25,KFC,500.0,FOOD_AND_DRINK,Chase Freedom Unlimited
2025-09-25,Madison Bicycle Shop,500.0,GENERAL_MERCHANDISE,Chase Freedom Unlimited
2025-10-16,Uber,5.4,TRANSPORTATION,Chase Sapphire Preferred
2025-10-15,ACH Electronic CreditGUSTO PAY 123456,5850.0,GENERAL_SERVICES,Chase Sapphire Preferred
2025-10-15,CD DEPOSIT .INITIAL.,1000.0,GENERAL_MERCHANDISE,Chase Sapphire Preferred
2025-10-14,Touchstone Climbing,78.5,PERSONAL_CARE,Chase Sapphire Preferred
2025-10-14,United Airlines,500.0,TRAVEL,Chase Sapphire Preferred
2025-10-13,McDonald's,12.0,FOOD_AND_DRINK,Chase Sapphire Preferred
2025-10-13,Starbucks,4.33,FOOD_AND_DRINK,Chase Sapphire Preferred
2025-10-12,FUN,89.4,GENERAL_MERCHANDISE,Chase Sapphire Preferred
2025-10-01,United Airlines,500.0,TRAVEL,Chase Sapphire Preferred
2025-09-29,Uber,6.33,TRANSPORTATION,Chase Sapphire Preferred
2025-09-26,Tectra Inc,500.0,ENTERTAINMENT,Chase Sapphire Preferred
2025-09-25,AUTOMATIC PAYMENT - THANK,2078.5,GENERAL_MERCHANDISE,Chase Sapphire Preferred
2025-09-25,KFC,500.0,FOOD_AND_DRINK,Chase Sapphire Preferred
2025-09-25,Madison Bicycle Shop,500.0,GENERAL_MERCHANDISE,Chase Sapphire Preferred
2025-10-16,Uber,5.4,TRANSPORTATION,Citi AAdvantage Platinum Select
2025-10-15,ACH Electronic CreditGUSTO PAY 123456,5850.0,GENERAL_SERVICES,Citi AAdvantage Platinum Select
2025-10-15,CD DEPOSIT .INITIAL.,1000.0,GENERAL_MERCHANDISE,Citi AAdvantage Platinum Select
2025-10-14,Touchstone Climbing,78.5,PERSONAL_CARE,Citi AAdvantage Platinum Select
2025-10-14,United Airlines,500.0,TRAVEL,Citi AAdvantage Platinum Select
2025-10-13,McDonald's,12.0,FOOD_AND_DRINK,Citi AAdvantage Platinum Select
2025-10-13,Starbucks,4.33,FOOD_AND_DRINK,Citi AAdvantage Platinum Select
2025-10-12,FUN,89.4,GENERAL_MERCHANDISE,Citi AAdvantage Platinum Select
2025-10-01,United Airlines,500.0,TRAVEL,Citi AAdvantage Platinum Select
2025-09-29,Uber,6.33,TRANSPORTATION,Citi AAdvantage Platinum Select
2025-09-26,Tectra Inc,500.0,ENTERTAINMENT,Citi AAdvantage Platinum Select
2025-09-25,AUTOMATIC PAYMENT - THANK,2078.5,GENERAL_MERCHANDISE,Citi AAdvantage Platinum Select
2025-09-25,KFC,500.0,FOOD_AND_DRINK,Citi AAdvantage Platinum Select
2025-09-25,Madison Bicycle Shop,500.0,GENERAL_MERCHANDISE,Citi AAdvantage Platinum Select
2025-10-16,Uber,5.4,TRANSPORTATION,Chase Freedom Flex
2025-10-15,ACH Electronic CreditGUSTO PAY 123456,5850.0,GENERAL_SERVICES,Chase Freedom Flex
2025-10-15,CD DEPOSIT .INITIAL.,1000.0,GENERAL_MERCHANDISE,Chase Freedom Flex
2025-10-14,Touchstone Climbing,78.5,PERSONAL_CARE,Chase Freedom Flex
2025-10-14,United Airlines,500.0,TRAVEL,Chase Freedom Flex
2025-10-13,McDonald's,12.0,FOOD_AND_DRINK,Chase Freedom Flex
2025-10-13,Starbucks,4.33,FOOD_AND_DRINK,Chase Freedom Flex
2025-10-12,FUN,89.4,GENERAL_MERCHANDISE,Chase Freedom Flex
2025-10-01,United Airlines,500.0,TRAVEL,Chase Freedom Flex
2025-09-29,Uber,6.33,TRANSPORTATION,Chase Freedom Flex
2025-09-26,Tectra Inc,500.0,ENTERTAINMENT,Chase Freedom Flex
2025-09-25,AUTOMATIC PAYMENT - THANK,2078.5,GENERAL_MERCHANDISE,Chase Freedom Flex
2025-09-25,KFC,500.0,FOOD_AND_DRINK,Chase Freedom Flex
2025-09-25,Madison Bicycle Shop,500.0,GENERAL_MERCHANDISE,Chase Freedom Flex
